name;lat;lon
Abbeyfeale; -9.290012000000001;52.387297
Abbeyleix; -7.343784;52.912735
Achill Sound; -9.918491;53.933725
Adare; -8.792064999999999;52.563903
Aglish; -7.822039;52.07159
Ahascragh; -8.330640000000001;53.395672
Anglesea Street; -8.465014999999999;51.895775
Annascaul; -10.052538;52.152418
Ardara; -8.409485;54.764529
Ardee; -6.541139;53.854914
Ardfert; -9.778885000000001;52.323486
Ardfinnan; -7.878311;52.31183
Ardmore; -7.728211;51.95102
Ardnacrusha; -8.613146;52.707692
Ardrahan; -8.806455;53.15665
Arklow; -6.154628;52.796281
Arles; -7.018923;52.890977
Arvagh; -7.583729;53.925376
Ashbourne; -6.396999;53.511375
Ashford; -6.108274;53.013445
Askeaton; -8.978285;52.600208
Athboy; -6.915872;53.623639
Athea; -9.287470000000001;52.459923
Athenry; -8.749687;53.29975
Athleague; -8.252367;53.568697
Athlone; -7.944738;53.423248
Athy; -6.988236;52.990206
Aughrim; -6.32684;52.856031
Avoca; -6.212905;52.858789
Bailieboro; -6.96963;53.915212
Balbriggan; -6.191172;53.61433
Balla; -9.129879000000001;53.801869
Ballaghaderreen; -8.584588;53.899932
Ballina; -9.160444999999999;54.112854
Ballinagh; -7.409629;53.93111
Ballinamore; -7.796969;54.054599
Ballinasloe; -8.223623999999999;53.328431
Ballincollig; -8.590320999999999;51.888237
Ballindine; -8.957725;53.669647
Ballineen; -8.948867;51.73592
Ballingarry; -8.862845;52.47213
Ballingarry North; -8.030464;53.018366
Ballingarry South; -7.541163;52.586041
Ballingeary; -9.228983;51.851864
Ballinhassig; -8.570544999999999;51.804093
Ballinlough; -8.635821999999999;53.740774
Ballinrobe; -9.226214000000001;53.624611
Ballintra; -8.125418;54.577798
Ballivor; -6.967157;53.532703
Ballon; -6.772182;52.743226
Ballybay; -6.904803;54.128944
Ballybofey; -7.779638;54.800024
Ballybunnion; -9.670237999999999;52.511257
Ballyconnell; -7.580204;54.118998
Ballycotton; -8.013090999999999;51.830332
Ballycroy; -9.825856;54.025764
Ballycullane; -6.839211;52.278869
Ballydehob; -9.460782;51.559116
Ballydesmond; -9.230971;52.178235
Ballyferiter; -10.406194;52.165926
Ballyfermot; -6.357991;53.34476
Ballygar; -8.328390000000001;53.521866
Ballyhale; -7.201527;52.468333
Ballyhaunis; -8.767407;53.763974
Ballyheigue; -9.827458;52.389174
Ballyjamesduff; -7.208767;53.86311
Ballylanders; -8.345470000000001;52.370709
Ballylinan; -7.043236;52.942954
Ballymacarberry; -7.717707;52.267228
Ballymahon; -7.760849;53.56131
Ballymore; -7.681731;53.491082
Ballymote; -8.515224;54.087429
Ballymun; -6.26371;53.394531
Ballynacargy; -7.534945;53.586311
Ballyneety; -8.548932000000001;52.597271
Ballynoe; -8.099306;52.060207
Ballyporeen; -8.097746000000001;52.270205
Ballyshannon; -8.204817;54.498743
Ballyvaughan; -9.147112;53.116153
Ballyvourney; -9.169196;51.945772
Baltimore; -9.372258;51.483488
Baltinglass; -6.709772;52.938986
Banagher; -7.98593;53.190536
Bandon; -8.739863;51.745084
Bangor Erris; -9.747078;54.143979
Bansha; -8.065583999999999;52.449254
Bantry; -9.455239000000001;51.68027
Barnaderg; -8.722467999999999;53.480544
Barraduff; -9.340942999999999;52.059764
Belmullet; -9.985583999999999;54.221746
Belturbet; -7.442615;54.101166
Bennetsbridge; -7.183241;52.590303
Birr; -7.911523;53.096052
Bishopstown; -8.514533999999999;51.880667
Blacklion; -7.876192;54.291479
Blackrock; -8.404310000000001;51.894335
Blackrock; -6.177504;53.299805
Blackrock; -6.368241;53.963757
Blackwater; -6.348826;52.445411
Blanchardstown; -6.380975;53.38992
Blarney; -8.567658;51.931964
Blessington; -6.533734;53.170266
Boherbue; -9.069751999999999;52.158972
Bonniconlon; -9.028962;54.109553
Borris; -6.929311;52.601802
Borris-in-Ossory; -7.628803;52.939297
Borrisokane; -8.127013;52.997118
Borrisoleigh; -7.955371;52.75149
Boyle; -8.300395;53.97337
Bray; -6.100595;53.198679
Bridewell; -8.477045;51.900553
Bridewell; -6.27413;53.34708
Bruff; -8.546975;52.47733
Bruree; -8.650418;52.42316
Bunbeg; -8.289455;55.065567
Bunclody; -6.662477;52.656758
Buncrana; -7.450711;55.1315
Bundoran; -8.279344;54.476554
Burnfoot; -7.401576;55.054674
Burtonport; -8.438637999999999;54.984922
Buttevant; -8.671275;52.229313
Cabinteely; -6.150651;53.260789
Cabra; -6.30764;53.364985
Caherciveen; -10.219832;51.946966
Caherconlish; -8.469536;52.593816
Cahir; -7.920298;52.375972
Callan; -7.391039;52.542375
