"03 ,Attempts/threats to murder, assaults, harassments and related offences","Abbeyfeale, Limerick Division",19
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Abbeyleix, Laois/Offaly Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Adare, Limerick Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aglish, Waterford Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ahascragh, Galway Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ailt an Chorraiin, Donegal Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Bun Beag, Donegal Division",12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Charraig, Donegal Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Cheathru Rua, Galway Division",8
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Clochain Liath, Donegal Division",23
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Coirean, Kerry Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Craoslach, Donegal Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Fail Carrach, Donegal Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Maim, Galway Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Rinn, Waterford Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","An Spideal, Galway Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Anglesea Street, Cork City Division",205
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Annascaul, Kerry Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aran More, Galway Division",30
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ard an Raitha, Donegal Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardee, Louth Division",30
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardfert, Kerry Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardfinnan, Tipperary Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardmore, Waterford Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardnacrusha, Limerick Division",13
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ardrahan, Galway Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Arklow, Wicklow Division",72
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Arles, Laois/Offaly Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Arva, Cavan/Monaghan Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ashbourne, Meath Division",59
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ashford, Wicklow Division",16
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Askeaton, Limerick Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athea, Limerick Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athenry, Galway Division",20
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athleague, Roscommon/Longford Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athlone, Westmeath Division",109
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Athy, Kildare Division",67
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Aughrim, Wicklow Division",9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Avoca, Wicklow Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baile AÅtha Bui, Meath Division",17
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baile an FheirtÈaraigh, Kerry Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baile Bhuirne, Cork West Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bailieboro, Cavan/Monaghan Division",29
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Balbriggan, D.M.R. Northern Division",97
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Balla, Mayo Division",6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballaghderreen, Roscommon/Longford Division",22
